telecommunications_equipment,C-HDMI120,HDMI 卡式插座 180D,,,,,,只,150,132,
telecommunications_equipment,C-HDMI120-B,HDMI 黑卡式插座 -90 一體,,,,,,只,150,132,
telecommunications_equipment,C-HDMI120-C,HDMI 卡式+帶線插座,,,,,,只,100,132,
telecommunications_equipment,C-KALON FE,KALON 麥克風卡式插座(母）,,,,,,只,100,100,
telecommunications_equipment,C-KALON MIC,KALON 麥克風卡式插座(公）,,,,,,只,384,100,
telecommunications_equipment,C-KALON PARTS,佳能 #母 黑面板 零件,,,,,,PC,15,0,
telecommunications_equipment,C-RCA-FF,F母頭 轉 RCA公頭(AV頭),,,,,,PC,6.5,2.464,AD-0036
telecommunications_equipment,C-SPLITTER-2,1對2分配器,,,,,,PC,13,0,
telecommunications_equipment,C-SPLITTER-3,1對3分配器,,,,,,PC,12.5,0,
telecommunications_equipment,C-SPLITTER-4,1對4分配器,,,,,,PC,28,0,
telecommunications_equipment,C-SURGE-BNC,BNC頭 單路同軸避雷器,,,,,,PC,0,0,
telecommunications_equipment,C-SURGE-F,F頭 單路同軸避雷器,,,,,,PC,0,0,
telecommunications_equipment,C-SURGE-POW,電源SURGE,,,,,,PC,0,0,
telecommunications_equipment,C-SURGE-TEL4,4路接線式通訊避雷器,,,,,,PC,0,0,
telecommunications_equipment,C-SURGE-TEL9,9路接線式通訊避雷器,,,,,,PC,0,0,
telecommunications_equipment,C-TV1,F 雙母頭-中間接頭(TV用),,,,,,PC,1.04,0,AD-0021
telecommunications_equipment,C-TV2,F 三母頭(TV 用),,,,,,PC,2.88,0,AD-0045
telecommunications_equipment,C-USBDATA,USB資料傳輸 卡式插座,,,,,,只,45,33,
telecommunications_equipment,C-VGA15P-FE,VGA D-SUB(焊）,,,,,,只,50,26,
telecommunications_equipment,C-VGA15P-FE2,VGA D-SUB 雙插,,,,,,只,80,26,
telecommunications_equipment,C-VGA15P-TF,VGA D-SUB(免焊）,,,,,,只,50,26,
other_wires,CA-RG58A-U,0.12*112編 電梯專用線-200M,,,,,,卷,889,0,
other_wires,CA-TEL-B,電話後端白扁線,,,,,,M,3.5,0,
other_wires,CAPOW,電源線,,,,,,M,12.5,0,
discount,CUS-NAME,案名/客戶名,,,,,,PC,0,0,
fiber_optic_digital_products,FIBER,光纖產品,,,,,,PC,215,0,
fiber_optic_digital_products,FIBER DIS,光纖終端盒 無耦和器,,,,,,PC,50,0,
fiber_optic_digital_products,FIBER JUMPER,光纖跳線 SC-SC 3M,SC-SC 3M,,,,,PC,50,0,
fiber_optic_digital_products,FIBER-MEDIA-CA,光電轉換器,,,,,,PC,0,0,
patch_panel,M-G,7m/m四方型 電白色,,,,,,只,13,0,
patch_panel,MDF-12CM-1,平型12公分,,,,,silver,支,5.3,0,
patch_panel,MDF-180CM,180CM L型角鐵,38MM*38M*4.3T*1.8,,,,silver,支,161.352,0,
patch_panel,MDF-180CM-1,180CM有型鐵,49MM*39MM*1.8m,,,,silver,支,11,0,
patch_panel,MDF-200CM,200CM L型角鐵,38MM*38MM*4.3T*2M,,,,silver,支,10,0,
patch_panel,MDF-200CM-1,200CM有型鐵,49MM*39MM*2M,,,,silver,支,12,0,
patch_panel,MDF-200CM-2,200公分方條,25MM*5MM*2M,,,,silver,支,71.286,0,
patch_panel,MDF-20CM,L型20公分,,,,,silver,支,1.8,0,
patch_panel,MDF-20CM-1,平型20公分,,,,,silver,支,6,0,
patch_panel,MDF-28CM,平型28公分,,,,,silver,支,9.664,0,
patch_panel,MDF-29.7CM,平型,29.7CM做短的ㄇ型用,,,,silver,支,10.6,0,
patch_panel,MDF-30CM,平型30公分,,,,,silver,支,1.8,0,
patch_panel,MDF-40CM,L型40公分,,,,,silver,支,2.4,0,
patch_panel,MDF-40CM-1,平型40公分,,,,,silver,支,2.4,0,
patch_panel,MDF-40CM-2,ㄇ型40公分固定桿,40公分固定桿,,,,silver,支,3.5,0,
patch_panel,MDF-50CM,平型-50CM 做長的ㄇ型,50CM 做長的ㄇ型,,,,silver,支,0,0,
patch_panel,MDF-60CM,L型60公分,,,,,silver,支,3,0,
patch_panel,MDF-60CM-1,平型60公分,,,,,silver,支,3,0,
patch_panel,MDF-60CM-2,ㄇ型60公分固定桿,,,,,silver,支,4.5,0,
patch_panel,MDF-6CM,平型6公分,,,,,silver,片,1.2,0,
patch_panel,MDF-BH,滑軌螺母,,,,,silver,支,0.1,0,
patch_panel,MDF-BH-F,四角螺母,,,,,silver,支,0.1,0,
patch_panel,MDF-BH-L,壁虎,,,,,silver,支,3,0,
patch_panel,MDF-BH-M3*12,M4*12螺絲,,,,,silver,支,0.162,0,
patch_panel,MDF-BH-M8,M8六角螺母,,,,,silver,支,0.28,0,
patch_panel,MDF-BH-M8*16,M8*16六角螺絲,,,,,,支,0.69,0,
patch_panel,MDF-BH-O,O-RIRG 7.65*1.02,,,,,,PC,0.35,0,
patch_panel,MDF-M-L,L型塑膠外殼,,,,,,各,3.36,0,
patch_panel,MDF-M-P,一字型塑膠,,,,,,個,2.76,0,
patch_panel,MDF-M-T,銅條20公分,,,,,,條,12,0,
digital_media_box,MEDIA FIBER BOX,,,,,,,PC,0,0,
digital_media_box,MEDIA-F,5U腳架-19CM,19CM,,,,white,支,20,0,
digital_media_box,MEDIA-F-6,6U腳架-23CM,23CM,,,,white,支,8.8,0,
digital_media_box,MEDIA-F-8,8U腳架-32CM,32CM,,,,white,支,13,0,
digital_media_box,MEDIA-TV,電視用支撐架,,,,,white,PC,7.7,0,
telecommunications_equipment,P-22H,標緻豪華型 W6-22H,,,,,white,只,0.7,0,
telecommunications_equipment,P-22H-1,標緻豪華型 W6-22H上蓋,,,,,white,只,0,0,
telecommunications_equipment,P-22H-L,加工費 標緻 W6-22H,,,,,white,只,0.5,0,
telecommunications_equipment,P-42H,標緻豪華型 W6-42H,,,,,white,只,1,0,
telecommunications_equipment,P-42H-1,標緻豪華型 W6-42H上蓋,,,,,white,只,6.3,0,
terminal_board,P-A10P,標緻A型10Pterminal_board(圓底),,,,,,支,17.8,0,3/16修改為圓底以後客人均用此料號銷貨
terminal_board,P-A10P-1,標緻A型10Pterminal_board(平底),,,,,,支,14.4,0,3/12修改此料號不可使用
terminal_board,P-C10P,標緻C型10Pterminal_board(圓底),,,,,,支,17.1,0,3/3更改產品敘述原來是(平底)更改為(圓底)料號
terminal_board,P-C10P-1,標緻C型10Pterminal_board(平底),,,,,,支,17.8,0,3/3更改產品敘述原來是(圓底)更改為(平底)料號
telecommunications_equipment,P-C10P-PLUG,隔離插哨,,,,,,PC,0.6,0,
telecommunications_equipment,PA-031-3,PANASONIC 星光三孔蓋板,,,,,,PC,0,0,
telecommunications_equipment,PANA,PANASONIC 國際,,,,,,PC,89.57,0,
telecommunications_equipment,PANA-CAT5E,PANASONIC 國際 CAT5 插座,,,,,,PC,89.57,0,
telecommunications_equipment,PANA-CAT6,PANASONIC 國際 CAT6 插座,,,,,,PC,89.57,0,
telecommunications_equipment,PANA-WNF3700,國際框架,,,,,,個,3.5,0,
telecommunications_equipment,PAR-M-1,固定地插用固定片,,,,,,個,1.2,0,
telecommunications_equipment,PAR-P-W6-22H,標緻22H外殼,,,,,white,只,7.4,0,
telecommunications_equipment,PAR-P-W6-22H-1,標緻22H上蓋,,,,,white,只,3.7,0,
telecommunications_equipment,PAR-P-W6-42H,標緻42H外殼,,,,,white,只,7.4,0,
telecommunications_equipment,PAR-S-1-A,不銹鋼面板一孔,,,,,,只,13,0,
telecommunications_equipment,PAR-S-2-A,不銹鋼面板二孔,,,,,,只,0,0,
telecommunications_equipment,PAR-S-3,太平洋 不銹鋼面板三孔(含鐵片),,,,,,組,0,0,
telecommunications_equipment,PAR-S-3-A,不銹鋼面板三孔,,,,,,只,0,0,
telecommunications_equipment,PAR-T-BH3*5,丸頭3*5五彩螺絲,,,,,,PC,7.5,0,
telecommunications_equipment,PAR-TV2-A,電視末端外殼,,,,,,只,1.7,0,
telecommunications_equipment,PAR-USBPOW-1,USB電源插頭,,,,,,PC,48,0,
telecommunications_equipment,PATCH,機架式資訊跳線面板 24PORT,,,,,,PC,600,0,
telecommunications_equipment,PATCH24-C5R,CAT 5 機架式訊跳線面板 24 PORT,,,,,,PC,450,0,
telecommunications_equipment,PATCH24-C6R,CAT 6 機架式訊跳線面板 24 PORT,,,,,,PC,600,0,
telecommunications_equipment,RACK,線槽,,,,,,米,320,0,
telecommunications_equipment,RACK-19,"19"" 41U 機櫃",,,,,,組,400,0,
telecommunications_equipment,TPY-002,掀蓋式地板插座+盒-銀(005-OP 改,,,,,,PC,210,0,
telecommunications_equipment,TPY-002-C,002&009 地板盒用之鐵製蓋板,,,,,,PC,0,0,
telecommunications_equipment,TPY-003,固定地板插座(含底座),,,,,,組,121,0,
telecommunications_equipment,TPY-003-1,固定地板插座(無底座),,,,,,只,0,0,
telecommunications_equipment,TPY-003-2,固定地板插座底座,,,,,,只,150,0,
telecommunications_equipment,TPY-003-C,固定地插-小圓孔蓋,,,,,,只,22,0,
telecommunications_equipment,TPY-003-COMBO,固定地板插座之 組合組,,,,,, 組,0,0,
telecommunications_equipment,TPY-003-G,銅色 固定地板插座,,,,,,只,230,0,
telecommunications_equipment,TPY-003-GH,H型電源插座,,,,,,只,25,0,
telecommunications_equipment,TPY-004,圓型彈跳地板插座(含底座)銀色,,,,,silver,組,400,0,
telecommunications_equipment,TPY-004-1,圓型彈跳式地板插座(含底座)銅色,,,,,copper,組,0,0,
telecommunications_equipment,TPY-004-A,圓型彈跳地板插座(無底座)銀色,,,,,silver,只,0,0,
telecommunications_equipment,TPY-004-B,圓型彈跳地板插座之底座,,,,,black,只,0,0,
telecommunications_equipment,TPY-005,四方型彈跳地板插座(無底座)銅色,,,,,copper,組,210,0,
telecommunications_equipment,TPY-005-1,四方型彈跳地板插座(無底座)銀色,,,,,silver,組,206,0,
telecommunications_equipment,TPY-005-A,四方型彈跳地板插座(不銹鋼)銀色,,,,,silver,只,211,0,
telecommunications_equipment,TPY-005-B,四方型-底座,,,,,black,個,30,0,
telecommunications_equipment,TPY-005-B-1,四方型-底座-2.0厚底,,,,,silver,個,180,0,
telecommunications_equipment,TPY-005-BD,防塵蓋 -四方型-底座用防塵蓋,,,,,,個,4,0,
telecommunications_equipment,TPY-005-G,雙聯接地用之接地方電,,,,,,PC,18,0,
telecommunications_equipment,TPY-005-M,四方彈跳地板插座-NL+接地電源,,,,,,組,210,0,
telecommunications_equipment,TPY-005-MEDIA,四方型影音黑底地板插座,,,,,,組,500,0,
telecommunications_equipment,TPY-005-OP,不用改成 TPY-002,,,,,,PC,210,0,
telecommunications_equipment,TPY-005-S,四方型彈跳地板插座(LOGO)銀色,,,,,silver,PC,208,0,
telecommunications_equipment,TPY-005-T,四方型地板插座不鏽鋼 NO LOGO,,,,,silver,組,0,0,
telecommunications_equipment,TPY-006,高架式地板6孔插座架-塑膠,,,,,black,組,0,0,
telecommunications_equipment,TPY-006-1,高架式地板6孔插座架-鐵製,,,,,black,只,53,0,
telecommunications_equipment,TPY-006-2,高架式地板插座埋入盒-塑膠,,,,,black,只,180,0,
telecommunications_equipment,TPY-006-2-1,高架式地板插座埋入盒-鐵製,,,,,black,只,120,0,
telecommunications_equipment,TPY-006-4,高架式地板插座面板-鋁合金,,,,,silver,片,3.4,0,
telecommunications_equipment,TPY-006-9,地板盒用之MINI小蓋板,,,,,,片,0,0,
telecommunications_equipment,TPY-007,桌上型插座盒,,,,,,SET,500,0,
telecommunications_equipment,TPY-008,9/12 孔鋁合金面板 -銀,2ji,,,,silver,只,1500,0,
telecommunications_equipment,TPY-008-B,9/12 孔鋁合金面板 -BLACK,,,,,,只,1500,0,
telecommunications_equipment,TPY-009,12孔不銹鋼高架地板插座盒,,,,,,只,610,0,
telecommunications_equipment,TPY-01,資訊+電信插座,,,,,,只,0,0,
telecommunications_equipment,TPY-01-1,東芝面板,,,,,,只,4.73,0,
telecommunications_equipment,TPY-010,地板盒訂製品,,,,,,只,0,0,
telecommunications_equipment,TPY-031-0,立體蓋板盲蓋,,,,,,只,7,0,
telecommunications_equipment,TPY-031-1,立體蓋板一孔,,,,,,只,7,0,
telecommunications_equipment,TPY-031-2,立體蓋板二孔,,,,,,只,7,0,
telecommunications_equipment,TPY-031-3,立體蓋板三孔,,,,,,只,7,0,
telecommunications_equipment,TPY-032,四方法MINI蓋板金屬盲蓋,,,,,,只,80,0,
telecommunications_equipment,TPY-032-1,四方法拉絲黑蓋板一孔,,,,,black,只,80,0,
telecommunications_equipment,TPY-032-2,四方法拉絲黑蓋板2孔,,,,,black,只,80,0,
telecommunications_equipment,TPY-032-4,四方法拉絲黑蓋板4孔,,,,,black,只,80,0,
telecommunications_equipment,TPY-05,緊急押扣-有段,,,,,,只,0.4,0,
telecommunications_equipment,TPY-05-1,緊急押扣-無段,,,,,,PC,0,0,
telecommunications_equipment,TPY-06,副控鎖,,,,,,只,0,0,
telecommunications_equipment,TPY-07,太平洋 標緻避雷彈器座(含避雷子),,,,,,組,175,0,
telecommunications_equipment,TPY-07-1,避雷子,,,,,,PC,13,0,
telecommunications_equipment,TPY-07-2,H-100 保安器含底架,258用,,,,,組,0,0,
telecommunications_equipment,TPY-07-BOX,8路外線避雷器,,,,,,PC,400,0,
telecommunications_equipment,TPY-07-S,用戶單體避雷器(保安器),,,,,,PC,160,45,
telecommunications_equipment,TPY-09,terminal_board用自動工具,,,,,,支,42,0,
telecommunications_equipment,TPY-09-1,太平洋 標緻2芯測試線,,,,,,條,31,0,
telecommunications_equipment,TPY-09-2,太平洋 標緻4芯測試線,,,,,,條,35,0,
telecommunications_equipment,TPY-09-2C1,2芯測試線-鱷魚夾接頭,,,,,,條,31,0,
telecommunications_equipment,TPY-09-3,太平洋 標緻4C-6C-8C三合一工具,,,,,,支,165,170,
telecommunications_equipment,TPY-09-3-2,太平洋 標緻2合一工具,,,,,,支,0,0,
telecommunications_equipment,TPY-09-4,簡易型剝線工具,,,,,,支,35,0,
telecommunications_equipment,TPY-09-4C2,4芯測試線-鱷魚夾接頭,,,,,,條,35,0,
telecommunications_equipment,TPY-09-5,258 繞線槍,,,,,,支,0,0,
telecommunications_equipment,TPY-09-CAT,8C 網路測試器,,,,,,PC,80,0,
telecommunications_equipment,TPY-10-1,塑膠跳線-大,,,,,,PC,0,0,
telecommunications_equipment,TPY-10-2,塑膠跳線-中,,,,,,PC,0,0,
telecommunications_equipment,TPY-100P,100P後支架,,,,,,支,8,0,
telecommunications_equipment,TPY-100P-1,100P防塵蓋,,,,,,個,69,0,
telecommunications_equipment,TPY-100P-2,100P用標示座,,,,,,支,6,0,
telecommunications_equipment,TPY-100PO,100P支架(圓型),,,,,,支,0.3,0,
telecommunications_equipment,TPY-100PO-1,100P 圓支架用標示座,,,,,,支,0.8,0,
telecommunications_equipment,TPY-10P,10P後支架,,,,,,支,1.2,0,
telecommunications_equipment,TPY-10P-1,標示牌,,,,,,支,0.05,0,
telecommunications_equipment,TPY-10P-2,10P防塵蓋,,,,,,支,8.8,0,
telecommunications_equipment,TPY-10PO,10P後支架(圓型),,,,,,支,0.3,0,
telecommunications_equipment,TPY-11,電纜固定夾,,,,,,組,0.15,0,
telecommunications_equipment,TPY-110P RACK,機櫃式 110 terminal_board,,,,,,PC,0,0,
telecommunications_equipment,TPY-12,太平洋 標緻10~100號碼塞,,,,,,組,0,0,
telecommunications_equipment,TPY-13,三孔插座,,,,,,組,0,0,
telecommunications_equipment,TPY-13-1,二孔插座,,,,,,組,0,0,
telecommunications_equipment,TPY-16,太平洋 標緻接地連接片,,,,,,PC,0,0,
telecommunications_equipment,TPY-19-41U,19'開放型機架41U,,,,,,架,3714.3,0,
telecommunications_equipment,TPY-20P,20P後支架,,,,,,支,3,0,
telecommunications_equipment,TPY-20P-2,20P防塵蓋,,,,,,個,31.5,0,
telecommunications_equipment,TPY-20PO,20P後支架(圓型),,,,,,支,0,0,
telecommunications_equipment,TPY-22H,太平洋 W6-22H,,,,,,只,0.5,0,
telecommunications_equipment,TPY-258,258R 100P 焊接terminal_board(無測試功,,,,,,PC,0,0,
telecommunications_equipment,TPY-258TS,258TS 100P測試terminal_board 連接器,,,,,,組,0,0,
telecommunications_equipment,TPY-258W,258W 100P 繞線terminal_board,,,,,,組,1700,0,
telecommunications_equipment,TPY-258WTS,258WTS 100Pterminal_board 測試器,,,,,,組,1700,0,
other_wires,TPY-25P5M,25P連接線5M,,,,,,條,0,0,
telecommunications_equipment,TPY-2C,2C電信插座,,,,,,只,0.66,0,
telecommunications_equipment,TPY-2C-BO,美式接線盒內含 1*2芯,,,,,,只,6.9,0,
telecommunications_equipment,TPY-30P,30P後支架,,,,,,支,3,0,
telecommunications_equipment,TPY-30P-2,30P防塵蓋,,,,,,個,39,0,
telecommunications_equipment,TPY-30PO,30P後支架(圓型),,,,,,支,0,0,
cable,TPY-3CFB112-100,3CFB-112編同軸電纜100米,,100米,,,black,米,1.75,0,
cable,TPY-3CFB112-1000,3CFB-112編同軸電纜,,1000米,,,black,米,0,0,
cable,TPY-3CFB112-200,3CFB-112編同軸電纜200米,,200米,,,black,米,2.2,0,
cable,TPY-3CFB112-305,3CFB-112編同軸電纜(305)米,,305米,,,black,米,2.15,0,
cable,TPY-3CFB112-500,3CFB112編同軸電纜-500米,,500米,,,black,米,1.89,0,
telecommunications_equipment,TPY-41H,太平洋 W6-41H,,,,,white,只,0.7,0,
telecommunications_equipment,TPY-42H,太平洋 W6-42H,,,,,white,只,0.8,0,
telecommunications_equipment,TPY-4C,4C電信插座,,,,,white,只,0.77,0,
telecommunications_equipment,TPY-4C-BO,美式接線盒內含 1*4芯,,,,,,只,4.3,0,
telecommunications_equipment,TPY-4P4C,4P4C 接頭(二叉)水晶頭,,,,,,只,0.35,0,
telecommunications_equipment,TPY-50P,太平洋 標緻50P後支架,,,,,,支,4,0,
telecommunications_equipment,TPY-50P-2,太平洋 標緻50P防塵蓋,,,,,,只,29,0,
telecommunications_equipment,TPY-50PO,太平洋 標緻50P後支架(圓型),,,,,,支,0.3,0,
cable,TPY-5CFB128+Y,5C-FB-128編+Y同軸電纜,,305米,,,,米,0,0,
cable,TPY-5CFB128-100,5C-FB-128編同軸電纜(100米),,100米,,,black,米,2.45,0,
cable,TPY-5CFB128-200,5C-FB-128編同軸電纜(200米),,200米,,,black,米,2.56,0,
cable,TPY-5CFB128-305,5CFB-128編同軸電纜(305米),,305米,,,black,米,2.77,0,
cable,TPY-5CFB128-50,5C-FB-128編同軸電纜(50米),,50米,,,black,米,2.45,0,
cable,TPY-5CFB128-500,5CFB-128編同軸電纜(500米),,500米,,,black,米,2.66,0,
cable,TPY-5CFB128W-200,5C-FB128編同軸電纜白色(200米),,200米,,,white,米,5.3,0,
cable,TPY-5CFB168+1.3Y,5C防水同軸單網雙鋁隔離1.3Y-305,,305米,,,black,米,3,0,
cable,TPY-5CFB168-100,5CFB-168編同軸電纜(100米),,100米,,,black,米,2.8,0,
cable,TPY-5CFB168-1000,5CFB-168編同軸(1000米),,1000米,,,black,米,3.252,0,
cable,TPY-5CFB168-200,5CFB-168編同軸電纜(200米),,200米,,,black,米,2.92,0,
cable,TPY-5CFB168-305,5CFB-168編同軸電纜(305米),,305米,,,black,米,3.07,0,
cable,TPY-5CFB168-500,5CFB-168編同軸(500米),,500米,,,black,米,3.252,0,
cable,TPY-5CFB168-GPOW,5C-FB-168編同軸+電源,,,,,black,米,13,0,
cable,TPY-5CFB168Y-500,5CFB-168編+1.6Y同軸(500米),,500米,,,black,米,20,0,
cable,TPY-5CFB96-200,5CFB-96編同軸電纜(200米),,200米,,,black,米,0,0,
cable,TPY-5CFB96-305,5CFB-96編同軸電纜(305米),,305米,,,black,米,0,0,
telecommunications_equipment,TPY-6P4C,6P4C 接頭(三叉)水晶頭,,,,,,只,0.6,0,
telecommunications_equipment,TPY-6P6C,6P6C 水晶接頭,,,,,,PC,0.45,0,
cable,TPY-7CFB192-1K,7CFB-192編同軸電纜(1000米),,1000米,,,black,米,0,0,
cable,TPY-7CFB192-305,7CFB-192編同軸電纜(305米),,305米,,,black,米,11.5,0,
cable,TPY-7CFB192Q-1K,7CFB192編雙網雙鋁同軸電纜-1000,,1000米,,,black,米,5.32,0,
cable,TPY-7CFB192Y-1K,7CFB-192編+Y雙網雙鋁同軸-1000,,1000米,,,black,米,17,0,
telecommunications_equipment,TPY-81H,太平洋 標緻資訊上蓋一孔+1*CAT5,1*CAT5 +蓋板,,,,white,只,3.3,0,
telecommunications_equipment,TPY-81H-C6,太平洋 標緻資訊上蓋一孔+1*CAT6,1*CAT6 +蓋板,,,,white,只,3.3,0,
telecommunications_equipment,TPY-82H,二孔8C資訊插座(蓋板+2*CAT5),2*CAT5 +蓋板,,,,white,只,0,0,
telecommunications_equipment,TPY-82H-C6,二孔8C資訊插座(蓋板+2*CAT6),2*CAT6 +蓋板,,,,white,只,0,0,
telecommunications_equipment,TPY-8C-1,8C資訊插座(料號更改為RJ8C-1),,,,,white,只,6.96,0,
telecommunications_equipment,TPY-8C-3,一孔8C資訊插座(含蓋板),,,,,white,只,0,0,
telecommunications_equipment,TPY-8C-4-1,資訊上蓋二孔,,,,,white,只,0.2,0,
telecommunications_equipment,TPY-8C-5,CAT5-8C資訊插座小套-無印刷,,,,,white,只,0.22,0,
telecommunications_equipment,TPY-8C-6,太平洋 標緻 CAT6 插座 (含小套),,,,,white,只,0,0,
telecommunications_equipment,TPY-8C-6-1,8C資訊 CAT6 插座(不含小套),,,,,white,只,60,0,
telecommunications_equipment,TPY-8C-BO,資訊1孔接線盒-空盒,1孔8芯,,,,white,只,13,0,
telecommunications_equipment,TPY-8C-BO-2,資訊2孔接線盒-空盒 ,2孔8芯,,,,white,只,20,0,
telecommunications_equipment,TPY-8P8C,8P8C 接頭(三叉)CAT5E水晶頭,,,,,,只,0.65,0,
telecommunications_equipment,TPY-8P8C-1,8P8C CAT5 保護套(灰),,,,,,只,0.4,0,
telecommunications_equipment,TPY-8P8C-2,8P8C 雙色保護套,,,,,,只,1,0,
telecommunications_equipment,TPY-8P8C-3,8P8C CAT5E 三隻腳保護套,CAT5E 三隻腳保護套,,,,,PC,0.83,0,
telecommunications_equipment,TPY-8P8C-4,8P8C  CAT5E 三隻腳保護套,CAT5E 三隻腳保護套,,,,,只,0,0,
telecommunications_equipment,TPY-8P8C-B,8P8C CAT5保護套(藍色),,,,,blue,只,0,0,
telecommunications_equipment,TPY-8P8C-FTP,8P8C 接頭(三叉)CAT5E FTP接頭,CAT5E FTP接頭,,,,,只,5,0,
telecommunications_equipment,TPY-8P8C-R,8P8C CAT5保護套(紅),,,,,red,只,0,0,
telecommunications_equipment,TPY-8P8C-Y,8P8C CAT5保護套(黃色),,,,,yellow,只,0,0,
telecommunications_equipment,TPY-8P8C6,CAT6 8P8C 水晶頭(二件式),CAT6 水晶頭(二件式),,,,,只,12,4.5,
telecommunications_equipment,TPY-8P8C6-1,CAT6 8P8C 保護套(灰),,,,,,只,1.8,0,
telecommunications_equipment,TPY-8P8C6-2,CAT6 8P8C 水晶頭(一体式),,,,,,只,12,0,
telecommunications_equipment,TPY-8P8C6-3,CAT6 8P8C保護套(爪),CAT6爪保護套,,,,,PC,1.5,0,
telecommunications_equipment,TPY-8P8C6-B,CAT6 8P8C保護套(藍),CAT6爪保護套,,,,blue,只,0.33,0,
telecommunications_equipment,TPY-8P8C6-FTP,CAT6 8P8C FTP 水晶頭,,,,,,只,3,0,
terminal_board,TPY-A10P,太平洋A型10Pterminal_board,,,,,,支,30,0,
other_wires,TPY-ALARM-C2F200,防盜線2芯 200米,,200米,,,,米,497,0,
other_wires,TPY-ALARM-C4F200,防盜線4芯 200米,,200米,,,,米,1069,0,
telecommunications_equipment,TPY-BNC-NB2,BNC-單路數位影像傳輸器,,,,,,條,12,0,
telecommunications_equipment,TPY-BNC-SBT,BNC-單路數位影像傳輸器(鎖螺絲),,,,,,條,25,0,
telecommunications_equipment,TPY-BNCS-NB2,BNC-單路數位影像傳輸器(避雷),,,,,,條,45,0,
walkie_talkie,TPY-BS,BS-12V-1AZ 電源整流器1AZ,,,,,,台,0,0,
successor,TPY-C0102I,快速接續座一組一孔2P 180度(黑),,,,,black,PC,0.07,0,
successor,TPY-C0102I-1,快速接續座一組一孔2P180度(黃色,,,,,yellow,PC,0.07,0,
successor,TPY-C0102I-B,快速接續座一組一孔2P180度(藍色,,,,,blue,PC,0.06,0,
successor,TPY-C0102I-J,快速接續座P180度腳_日新黑色,,,,,black,PC,0,0,
successor,TPY-C0102I-JC,快速接續座2P180度腳色_日新黃色,,,,,yellow,PC,0.06,0,
successor,TPY-C0102L,快速接續座一組一孔2P 90度(黑),,,,,black,PC,0.13,0,
successor,TPY-C0102L-A,快速接續座一組一孔2P 90度(有腳,,,,,black,PC,0.12,0,
successor,TPY-C0102L-A-1,快速接續座一組一孔2P90度有腳黃,,,,,yellow,PC,0.12,0,
successor,TPY-C0102L-J,快速接續座一孔2P90度腳_日新,,,,,black,PC,0.13,0,
successor,TPY-C0102L-JC,快速接續座一孔2P90度腳色_日新,,,,,black,PC,0.12,0,
successor,TPY-C0104I,快速接續座一組一孔4P 180度(黑),,,,,black,PC,0.13,0,
successor,TPY-C0104I-J,快速接續座一孔4P180度腳_日新,,,,,black,PC,0,0,
successor,TPY-C0104I-JC,快速接續座一孔4P180度腳色_日新,,,,,black,PC,0,0,
